dataset,source,token,whole_field_rows,component_token_occurrences_cleaned,component_token_occurrences_raw_ws,component_rows_cleaned,component_rows_raw_ws,case_uppercase,case_lowercase,case_titlecase,case_other,punct_surrounded,whitespace_isolated
train,S1,null,0,43,17,43,17,0,0,43,0,26,17
train,S1,n/a,0,35,12,35,12,35,0,0,0,23,12
train,S1,na,0,979,370,968,363,0,0,979,0,609,370
train,S1,nan,0,24,14,24,14,0,0,24,0,10,14
train,S1,none,0,13,1,13,1,0,7,6,0,12,1
train,S1,unknown,0,6,4,6,4,0,0,6,0,2,4
train,S1,undefined,0,0,0,0,0,0,0,0,0,0,0
train,S2,null,0,131796,4690,131794,4690,87924,43871,1,0,127106,4690
train,S2,n/a,0,43772,2377,43772,2377,43772,0,0,0,41395,2377
train,S2,na,0,2002,763,1973,745,2002,0,0,0,1239,763
train,S2,nan,0,48,28,48,28,47,0,1,0,20,28
train,S2,none,0,9,3,9,3,9,0,0,0,6,3
train,S2,unknown,0,14,9,14,9,11,0,3,0,5,9
train,S2,undefined,0,0,0,0,0,0,0,0,0,0,0
train,S3,null,0,130844,4229,130844,4229,87114,43652,78,0,126615,4229
train,S3,n/a,0,43894,2055,43894,2055,43861,0,0,33,41839,2055
train,S3,na,0,1559,640,1541,627,2,0,1557,0,919,640
train,S3,nan,0,33,23,33,23,0,0,33,0,10,23
train,S3,none,0,22,2,22,2,0,0,22,0,20,2
train,S3,unknown,0,20,10,20,10,0,0,20,0,10,10
train,S3,undefined,0,0,0,0,0,0,0,0,0,0,0
test,S1,null,0,41,19,41,19,0,0,41,0,22,19
test,S1,n/a,0,31,15,30,14,31,0,0,0,16,15
test,S1,na,0,948,369,938,361,1,2,945,0,579,369
test,S1,nan,0,30,14,30,14,0,0,30,0,16,14
test,S1,none,0,6,1,6,1,0,5,1,0,5,1
test,S1,unknown,0,3,1,3,1,0,0,3,0,2,1
test,S1,undefined,0,0,0,0,0,0,0,0,0,0,0
test,S2,null,0,105348,3787,105346,3787,70602,34746,0,0,101561,3787
test,S2,n/a,0,35176,1919,35173,1916,35176,0,0,0,33257,1919
test,S2,na,0,2407,928,2378,909,2407,0,0,0,1479,928
test,S2,nan,0,82,41,82,41,82,0,0,0,41,41
test,S2,none,0,1,1,1,1,1,0,0,0,0,1
test,S2,unknown,0,8,1,8,1,7,0,1,0,7,1
test,S2,undefined,0,0,0,0,0,0,0,0,0,0,0
test,S3,null,0,105806,3364,105803,3364,70463,35258,85,0,102442,3364
test,S3,n/a,0,35006,1724,35005,1723,34975,0,0,31,33282,1724
test,S3,na,0,1906,773,1875,744,3,1,1902,0,1133,773
test,S3,nan,0,72,42,72,42,0,0,72,0,30,42
test,S3,none,0,8,1,8,1,0,0,8,0,7,1
test,S3,unknown,0,10,6,10,6,0,0,10,0,4,6
test,S3,undefined,0,0,0,0,0,0,0,0,0,0,0
