source1_entity_id	source3_entity_id	country	multiplicity	s1_name_raw	s3_name_raw	s1_address_raw	s3_address_raw	normalized_name	normalized_address
S1-414888075	S3-898421921	India	4	Mehar Pharma Center	mehar pharma center	House No-205, 2Nd Floor, Plot No-265, Bhoi Sahi Krutibandhu Complex, Near Baramunda Bus, Stand, Bhubaneswar, Khordha, Orissa	House No-205, 2Nd Floor, Plot No-265, Bhoi Sahi Krutibandhu Complex, Near Baramunda Bus, Stand, Bhubaneswar, Khordha, Orissa	mehar pharma center	house no 205 2nd floor plot no 265 bhoi sahi krutibandhu complex near baramunda bus stand bhubaneswar khordha orissa
S1-626968956	S3-131889054	India	6	Premlata & Co	Premlata Co	B106, 1Floor, Towerbt Homes, Sector3, Siddharth Vihar, Ghaziabad, Uttar Pradesh	B106, 1Floor, Towerbt Homes, Sector3, Siddharth Vihar, Ghaziabad, Uttar Pradesh	premlata co	b106 1floor towerbt homes sector3 siddharth vihar ghaziabad uttar pradesh
S1-969273819	S3-509927511	India	4	Orchid & Co	Orchid Co	603 6Th Floor Raylon Arcade, Kodivita Road Andheri Kurla Road Near New Empair Industrial Andheri East, Mumbai, Maharashtra	603 6Th Floor Raylon Arcade, Kodivita Road Andheri Kurla Road Near New Empair Industrial Andheri East, Mumbai, Maharashtra	orchid co	603 6th floor raylon arcade kodivita road andheri kurla road near new empair industrial andheri east mumbai maharashtra
S1-887728767	S3-245468448	India	9	Timbers Polytechnic	Timbers Polytechnic	Flat No-A315, Subhadra Appartment Patia, Bhubaneswar, Khordha, Orissa	Flat No-a315, Subhadra Appartment Patia, Bhubaneswar, Khordha, Orissa	timbers polytechnic	flat no a315 subhadra appartment patia bhubaneswar khordha orissa
S1-123114392	S3-992487935	India	4	Bombay United Products Private Limited	Bombay United Products Private (Limited)	Gotala Gram, Ranaga Bazar, Khurda, Khordha, Orissa	Gotala Gram, Ranaga Bazar, Khurda, Khordha, Orissa	bombay united products private limited	gotala gram ranaga bazar khurda khordha orissa
S1-523552976	S3-164842889	India	6	Mega Seva Samiti	Mega  Seva Samiti	Bb-5, Vyas Complex Panposh Road, Rourkela, Sundargarh, Orissa	Bb-5, Vyas Complex Panposh Road, Rourkela, Sundargarh, Orissa	mega seva samiti	bb 5 vyas complex panposh road rourkela sundargarh orissa
S1-931087285	S3-128719788	India	4	Black Consulting Private Limited	Black  Consulting Private Limited	587, Sahid Nagar Bhubaneswar, Bhubaneswar, Khordha, Orissa	#587, Sahid Nagar Bhubaneswar, Bhubaneswar, Khordha, Orissa	black consulting private limited	587 sahid nagar bhubaneswar bhubaneswar khordha orissa
S1-946340498	S3-158604427	India	4	Limelight & Co	Limelight Co-&	At- Rodhapur (Bali Sahi) Po- Salepur, Cuttack, Orissa	At- Rodhapur (Bali Sahi) Po- Salepur, Cuttack, Orissa	limelight co	at rodhapur bali sahi po salepur cuttack orissa
S1-188452719	S3-214911189	India	2	Rajiv Bags Pvt. Ltd.	Rajiv Bags Pvt. Ltd	Chatiapali (Gandhrail) Sadaipali, Bolangir, Balangir, Orissa	Chatiapali (Gandhrail) Sadaipali, Bolangir, Balangir, Orissa	rajiv bags pvt ltd	chatiapali gandhrail sadaipali bolangir balangir orissa
S1-209453428	S3-279303933	India	3	Global Tools	Global Tools	Plot No-259, Govind Prasad Bomikhal, Laxmisagar, Bhubaneswar, Khordha, Orissa	Plot No-259, Govind Prasad Bomikhal, Laxmisagar, Bhubaneswar, Khordha, Orissa	global tools	plot no 259 govind prasad bomikhal laxmisagar bhubaneswar khordha orissa
S1-393898037	S3-163937462	India	3	Terra Products Pvt. Ltd.	Terra Products Pvt Ltd	C/O Sayed Iftakhar Ali, Sidheswar Sahi, Cuttack, Cuttack Sadar, Cuttack, Orissa	C/o Sayed Iftakhar Ali, Sidheswar Sahi, Cuttack, Cuttack Sadar, Cuttack, Orissa	terra products pvt ltd	c o sayed iftakhar ali sidheswar sahi cuttack cuttack sadar cuttack orissa
S1-380132471	S3-76914023	India	5	Chicago Foundation	Chicago Foundation	Sudpara Po/Ps-Bolangir, Bolangir, Balangir, Orissa	Sudpara Po/ps-bolangir, Bolangir, Balangir, Orissa	chicago foundation	sudpara po ps bolangir bolangir balangir orissa
S1-951934049	S3-229461572	India	3	Natural Solutions Pvt Ltd	Natural Solutions Pvt  Ltd	Vill: Fatepur, Tihidi, Bhadrak, Orissa	Vill: Fatepur, Tihidi, Bhadrak, Orissa	natural solutions pvt ltd	vill fatepur tihidi bhadrak orissa
S1-508583878	S3-339743071	India	4	Sharad & Co	Sharad Co	Arazi No.267 Saha Urf Peepalgaon, Allahabad, Uttar Pradesh	Arazi No.267 Saha Urf Peepalgaon, Allahabad, Uttar Pradesh	sharad co	arazi no 267 saha urf peepalgaon allahabad uttar pradesh
S1-558648528	S3-936139143	India	3	Networth Asia Private Limited	Networth Asia Private Limited	Plot No. 802/1986, Bhubaneswar, Khordha, Orissa	Plot No. 802/1986, Bhubaneswar, Khordha, Orissa	networth asia private limited	plot no 802 1986 bhubaneswar khordha orissa
S1-888556075	S3-726322303	India	9	Astech & Co	Astech Co	B-63 Seema Apartmentsbullock Road Band Stand Bandra, Mumbai, Maharashtra	B-63 Seema Apartmentsbullock Road Band Stand Bandra, Mumbai, Maharashtra	astech co	b 63 seema apartmentsbullock road band stand bandra mumbai maharashtra
S1-178039521	S3-780990918	India	4	Infra Cure Niketan Private Limited	Infra Cure Niketan Private Limited	Word No. 2, House No. 5, Tahajang, Gumma, Parlakhemundi, Kasinagar, Gajapati, Orissa	Word No. 2, House No. 5, Tahajang, Gumma, Parlakhemundi, Kasinagar, Gajapati, Orissa	infra cure niketan private limited	word no 2 house no 5 tahajang gumma parlakhemundi kasinagar gajapati orissa
S1-239996339	S3-882349845	India	3	Ibiz & Co	Ibiz Co	Shop No. 2 Globe Enterprises, Beside Land Mark, Ramdaspeth, Nagpur, Maharashtra	Shop No. 2 Globe Enterprises, Beside Land Mark, Ramdaspeth, Nagpur, Maharashtra	ibiz co	shop no 2 globe enterprises beside land mark ramdaspeth nagpur maharashtra
S1-50153208	S3-179066393	India	6	Eastern Care Private Limited	Eastern Care Private Limited	S/O Golakha Mohanty Puskura Anandapur, Keonjhar, Kendujhar, Orissa	S/o Golakha Mohanty Puskura Anandapur, Keonjhar, Kendujhar, Orissa	eastern care private limited	s o golakha mohanty puskura anandapur keonjhar kendujhar orissa
S1-261070214	S3-764253919	India	6	Dina Rani Private Limited	Dina  Rani Private Limited	Plot No - 875/1108/6150, Frinds Colony Malipada, Bhubaneswar, Khordha, Orissa	Plot No - 875/1108/6150, Frinds Colony Malipada, Bhubaneswar, Khordha, Orissa	dina rani private limited	plot no 875 1108 6150 frinds colony malipada bhubaneswar khordha orissa
S1-837073734	S3-79503528	India	5	Jai Constructions Pvt Ltd	Jai Constructions Pvt [Ltd]	Brahminsahi Boudh Town, Boudh, Orissa	Brahminsahi Boudh Town, Boudh, Orissa	jai constructions pvt ltd	brahminsahi boudh town boudh orissa
S1-54155884	S3-723486068	India	5	Alpha International	alpha international	C/O. Saphala Samal Gadasantri, Angul, Orissa	C/o. Saphala Samal Gadasantri, Angul, Orissa	alpha international	c o saphala samal gadasantri angul orissa
S1-797635958	S3-73831290	India	4	Aumkar & Co	Aumkar Co	Keshva Palace305 West, 3Rd Floor, Ps-Shastri Nagar, Bailey Road, Patna, Bihar	Keshva Palace305 West, 3Rd Floor, Ps-Shastri Nagar, Bailey Road, Patna, Bihar	aumkar co	keshva palace305 west 3rd floor ps shastri nagar bailey road patna bihar
