dimension,category,count,percentage
name_bucket,EMPTY_NAME,3688,73.76
name_bucket,LOW_SIMILARITY,980,19.6
name_bucket,SUBSTRING_NAME,186,3.72
name_bucket,HIGH_SIMILARITY,125,2.5
name_bucket,EXACT_NAME,21,0.42
address_bucket,SHARED_NUMBER_POSTAL,3504,70.08
address_bucket,SHARED_LOCALITY,731,14.62
address_bucket,EXACT_ADDRESS,549,10.98
address_bucket,DIFFERENT_ADDRESS,149,2.98
address_bucket,EMPTY_ADDRESS,67,1.34
script_mismatch,YES,3759,75.18
script_mismatch,NO,1241,24.82
transliteration,TRANSLITERATION_TARGET,3759,75.18
transliteration,LATIN_VARIATION,1241,24.82
dba_involvement,STANDARD_NAME,4670,93.4
dba_involvement,DBA_INVOLVED,330,6.6
country,India,5000,100.0
source,S2,5000,100.0
